iter 1030: loss 4.4692, time 1218.78ms, mfu 25.76%
iter 1040: loss 4.2863, time 1413.16ms, mfu 25.88%
iter 1050: loss 4.3827, time 1187.28ms, mfu 26.50%
iter 1060: loss 4.2601, time 1632.02ms, mfu 26.19%
iter 1070: loss 4.2641, time 1367.81ms, mfu 26.36%
iter 1080: loss 4.2715, time 1323.32ms, mfu 26.60%
iter 1090: loss 4.3202, time 1399.33ms, mfu 26.67%
iter 1100: loss 4.2062, time 1470.70ms, mfu 26.59%
iter 1110: loss 4.3267, time 1186.73ms, mfu 27.15%
iter 1120: loss 4.3117, time 1144.27ms, mfu 27.76%
iter 1130: loss 4.3795, time 1170.37ms, mfu 28.24%
iter 1140: loss 4.1767, time 1212.48ms, mfu 28.56%
iter 1150: loss 4.1686, time 1315.46ms, mfu 28.61%
iter 1160: loss 4.2056, time 1242.60ms, mfu 28.81%
iter 1170: loss 4.3297, time 1656.27ms, mfu 28.23%
iter 1180: loss 4.2244, time 1233.08ms, mfu 28.50%
iter 1190: loss 4.2028, time 1223.68ms, mfu 28.77%
iter 1200: loss 3.9520, time 1413.55ms, mfu 28.59%
iter 1210: loss 4.2361, time 1565.73ms, mfu 28.16%
iter 1220: loss 4.1029, time 1309.66ms, mfu 28.26%
iter 1230: loss 4.1223, time 1221.72ms, mfu 28.55%
iter 1240: loss 4.2675, time 1398.20ms, mfu 28.42%
iter 1250: loss 4.1201, time 1295.80ms, mfu 28.52%
iter 1260: loss 4.2614, time 1459.52ms, mfu 28.28%
iter 1270: loss 4.1782, time 1290.74ms, mfu 28.41%
iter 1280: loss 4.1832, time 1878.31ms, mfu 27.60%
iter 1290: loss 4.1547, time 1140.73ms, mfu 28.18%
iter 1300: loss 4.1118, time 1291.10ms, mfu 28.32%
iter 1310: loss 3.8069, time 1163.72ms, mfu 28.76%
iter 1320: loss 4.0537, time 1200.35ms, mfu 29.06%
iter 1330: loss 3.9275, time 1439.08ms, mfu 28.80%
iter 1340: loss 3.9721, time 1334.69ms, mfu 28.78%
iter 1350: loss 4.0222, time 1379.76ms, mfu 28.66%
iter 1360: loss 3.9718, time 1054.64ms, mfu 29.41%
iter 1370: loss 4.1779, time 1372.63ms, mfu 29.25%
iter 1380: loss 4.0259, time 1278.70ms, mfu 29.31%
iter 1390: loss 4.0534, time 1270.98ms, mfu 29.38%
